"Please select","Please select"
"Product (Deprecated)","Product (Deprecated)"
"Summary Card","Summary Card"
"Summary Card with Large Image","Summary Card with Large Image"
"Short Description","Short Description"
"Long Description","Long Description"
"Incl. Tax","Incl. Tax"
"Excl. Tax","Excl. Tax"
"Google Cards & Rich Snippets","Google Cards & Rich Snippets"
"Google Cards General Settings","Google Cards General Settings"
Enable,Enable
Description,Description
Price,Price
"In case price is listed with Tax and without Tax select which price should be used.","In case price is listed with Tax and without Tax select which price should be used."
Brand,Brand
"Rich Snippets General Settings","Rich Snippets General Settings"
"Wrap with div","Wrap with div"
"Site Name","Site Name"
